rating	review
70	                                I’m pretty glad I waited for Dying Light: Platinum Edition to come to Nintendo Switch to play it. I’m sure this game is much better elsewhere, there’s no doubt this is the “weakest” version to play. But when the weakest version of a game is still this good? That’s impressive.                            
70	                                While Dying Light doesn't win many awards for originality, it more than makes up for it with satisfying gameplay that will please even the most established zombie hunters.                            
65	                                Dying Light: Platinum Edition is another impressive Switch port, but the game itself is just OK. Its design threw everything at the wall, often to its detriment. While it has some pretty high highs, they lie almost exclusively in the movement. If you do want to chase those highs you’re better off on other platforms until another patch or two comes along.                            
100	                                Tales of Arise is not only now my favorite Tales game to date, even surpassing my beloved Vesperia, it’s easily in my top 3 JRPG’s of all time, deserving to be compared to and alongside the best of the genre, and hands down my Game of the Year pick for 2021 without any hesitation. A compelling and complex story, wonderful character development, addictive combat, plenty of side activities to partake in like fishing or farming, stunning visuals and perfect audio are just a few reasons I can’t recommend it enough. Tales of Arise was an unforgettable masterpiece that I’ll surely play through again on NG+ eventually and anyone that’s a JRPG fan needs to play, the sooner the better.                            
95	                                Tales of Arise is the perfect revamp for the saga after its 25th anniversary. A more accessible title for JRPG lovers, with surprising characters and story.                            
94	                                Tales of Arise is one of the great adventures of 2021 with a bold, fresh take on the series, but one that stays true to many of the series' fundamentals. Spectacular and fun gameplay meets a deep story with all sorts of characters that will win you over in a big way.                             
93	                                Tales of Arise is a JRPG that ticks a lot of boxes of what I expect and what I want such a game to be. It has a great story, great characters, wonderful designed areas that are vibrant and a combat system you can tailor to your preference. It proves not every RPG needs to be open world and if you do all the other elements very well then it makes for a great experience.                            
90	                                Tales of Arise is great at almost everything it attempts, but it does just falls short of having the wow factor and possesses a couple of niggling factors to boot. Nevertheless it’s absolutely worth picking up if you’re after an action-RPG to sink a load of hours into.                            
90	                                Tales of Arise is today the highest peak ever reached by the Bandai Namco franchise.                            
88	                                The real test of whether or not Tales of Arise is for you will be in your desired level of investment, because the requirement for here, is nothing shy of massive. But what you get is a charming game built from tentpole JRPG, anime and manga tropes, glammed up the wazoo, and pegged down with a solid fighting and combat system, stunning animations, a unique art-style and maybe the best presentation in the series yet. I for one loved my time with the game, even at its cringiest, because the payoff for growth in power and the game’s pure characterisation is worth watching the handful of Alphen skits being a big dumb idiot.                            
88	                                Tales of Arise proposes new ideas for a long-lived series where we thought we had already seen it all. After this, the franchise can no longer go back to what it was before. Because of its story that touches sensitive topics, improvement in art direction, and a more complex battle system, Arise stands next to Symphonia as one of the best games in the series. This is an adventure that you will remember for years.                            
87	                                For its 25th anniversary of the franchise, Tales of Arise doesn't only get a new exciting look, but the action RPG also delights with a dark, mature setting and presentation.                             
85	                                Tales of Arise succeeds in giving the series new lustre with a mature, interesting story full of twists, a technical aspect that is suited to the current generation and a dynamic, fast and spectacular combat system. There is still room for improvement, but if you are a fan of action-RPG it is a game not to be missed.                            
85	                                Tales of Arise brilliantly succeeds in breathing new life into the Tales Of saga. With its universe and its successful characters, the title delivers a striking adventure that takes advantage of superb environments thanks to a unique graphic rendering. The fights are not left out either since they show great intensity with always more spectacle, sometimes even if it means confusing the action. If we can blame it for his clipping, its talkative side, or its redundant bestiary, we still salute its many qualities which suggest good for the future of the series.                             
85	                                Tales of Arise is the return of a mythical saga that has not always been able to convince players, but that has taken its five-year break calmly enough to give us what will be one of the most outstanding JRPG titles of the year and a more than solid game for those who want to discover the saga. A title that hooks you with its plot, fulfills its combat and makes you fall in love with the relationships between characters.                            
80	                                Tales of Arise is a Japanese role-playing game of classic proportions. A motley crowd of young heroes sets out to save a world filled with of secrets, beautiful cities, fun battles, and an exciting story. The presentation is uneven, as is the plot - and the gameplay feels a bit too familiar. But for anyone who wants a grand and often beautiful Japanese role-playing game, Tales of Arise is one of the best.                             
70	                                The game’s incredibly refined, real-time combat is complemented by the social lessons and warnings imparted by the story. At least for half of its campaign.                             
70	                                Tales of Arise is an experience with good sides and bad sides. On one hand it is a great adventure in expansive and gorgeous environments, with a stellar action oriented combat system that might be the series best one so far. On the other hand the story – while interesting – is told in a really frustrating manner, with way toO much dialogue that has no real place or purpose.                            
100	                                Add in absolutely stunning visuals, and you have one of the finest adventure games of 2021. Guardians of the Galaxy is everything you could want in a Marvel video game, really, filled with a blend of electric moments and thoughtful junctures.                            
95	                                Guardians of the Galaxy is a strong contender for Game of the Year in 2021. Constantly, the game surprises with its inventive use of the Marvel formula. Eidos-Montreal has managed to do the impossible, creating a vision for the Guardians that isn’t beholden to the Marvel Cinematic Universe and can stand on its own. Featuring rich dialog and a character- and personality-driven story, players will be able to forge their own path as Star-Lord, leading his ragtag group of miscreants across the universe. Combat may not offer many surprises but is explosive and fast-paced enough to allow for exciting tactical teamwork. Guardians of the Galaxy has set a new standard for games based on comics and while there may be competition in the future, this game proves the genre can evolve to new heights.                            
95	                                While I went into Guardians with a good feeling I’d enjoy it, I was surprised by just how much fun I ended up having. Moreso than the combat gameplay or even the stunning world design, what really cemented my enjoyment was its writing.                            
95	                                Eidos Montreal has crafted one of the best superhero games. Their attention to world-building and characterization should be followed by many studios to come. Exciting combat that blends action RPG elements with strategic player commands and breathtaking visuals and animations is something to behold. But what truly sets this title apart is the fantastic writing, not just for the Guardians themselves but for every character you come across. If you weren't a fan of the franchise before, Marvel's Guardians of the Galaxy might just change your mind.                            
95	                                Marvel's Guardians of the Galaxy is a flarkin fantastic game; it's easily the best game of the year so far. My only disappointment? We need more Lipless.                            
92	                                Marvel's Guardians of the Galaxy is the purest form of chaos; but also of good storytelling. It is a journey, not with mere NPCs alongside Peter Quill, but with real friends. It is also a full display of crazy explosions, action to get your blood pumping, hilarious jokes and sublime music. All in all, Marvel's Guardians of the Galaxy is one of the best single-player experiences of 2021.                             
92	                                Despite a few technical hiccups, Guardians of the Galaxy is one of 2021's best games thanks to a fantastic story with amazing gameplay to boot. These Guardians really stand out from the movies even though they might similar. In many ways, Eidos has created Uncharted in space but with deeply satisfying combat mechanics that keep you entertained throughout.                            
91	                                As great as Marvel’s Avengers was, Marvel’s Guardians of the Galaxy takes the framework of combat there and fine-tunes it.                             
91	                                Marvel’s Guardians of the Galaxy is such a redemption after the disaster with Marvel's Avengers. Amazing gameplay, great story and stunning graphics, are some elements that makes the new Eidos game a must-have.                             
90	                                Marvel’s Guardians of the Galaxy is a surprise to be sure, but a welcome one. I’ve had zero expectations for this game since the preview trailers were so boring and bland, but the game itself is a whole different story. The amazing script was brought to life with excellent voice acting and all stuffed into some incredible and fun gameplay with captivating characters, quips, jokes and set pieces. Gardeners of the Galaxy is now a contender on my GOTY list.                             
90	                                Guardians of the Galaxy vs. Avengers? The latter doesn't stand a chance. On the one hand, I should encourage you to buy GotG and send a clear message to the overlords that gamers still love single-player stories. On the other hand, I wish Eidos had spent this time making a third Deus Ex. Still, I had tons of fun with the Guardians, and I'd like to see a sequel.                            
90	                                Marvel’s Guardians of the Galaxy surprises with a remarkable, true and emotional story with excellent performances, all in a unique graphic style, full of effects and color that give strength to the game and above all to its message. The gameplay is not at the level of everything else that is presented, but that doesn't make it a truly negative element. An ode to books, movies and fans, with a team that goes back to giving it all, something that the player won't forget, taking us to moments of laughter and sadness like no other Marvel game has ever done.                            
90	                                Marvel's Guardians of the Galaxy is an extremely fun little romp that is genuinely funny and heartfelt. It's fun to play, and combat maintains the feel of a team working together despite being technically only a single-player game. The only real downside is that it is a linear game, so the replay value depends on how much you enjoy seeing alternate outcomes to various cut scenes. If you're a fan of the franchise and don't mind that this doesn't matching the MCU version, then there's a whole lot to like in MGotG.                            
90	                                There’s some frequent but minor performance issues aside. Be that as it may, Guardians of the Galaxy is one of the most enjoyable games you’ll play all year. You might have never gotten into one of the comics or films. Still, there’s something in this space-adventure epic for everyone. You could wait until the last of the technical creases are ironed out, but none ruin the core experience. If you’re looking for a game that’s brimming with heart in both story and gameplay, this is one for you.                            
90	                                Marvel’s Guardians of the Galaxy is an excellent story-driven game with compelling characters, nice humor, great narrative and amazing visuals.                            
90	                                Eidos Montréal gives us one of the most interesting narrative games of recent times, always taking advantage of the medium's own tools to narrate. Knowledge and affection for the characters, entertaining combat, incessant surprises... one of the best of the year.                            
90	                                Marvel's Guardians of the Galaxy takes the action RPG and draws from both the films and comics to create a stunning gaming experience. With plenty of humor, an amazing soundtrack, and stellar gameplay, this is one of the best team-based comic book games ever.                            
90	                                It turns out that Marvel’s Guardians of the Galaxy shouldn’t have been written off. Eidos Montreal delivers a strong story filled with comedy and tragedy, great characters and a world that feels entirely unlike the Marvel Cinematic Universe. They’ve compiled a lengthy adventure that’ll take players to new and familiar locations and built out a great gameplay system that utilizes all the Guardians’ best attributes.                            
90	                                Marvel's Guardians of the Galaxy is simply one of the most satisfying superhero action/adventure games we've played recently. A great story, hilarious gameplay and excellent technical achievement make the new work of Eidos Montréal one of the best games of the year.                            
90	                                Marvel’s Guardians of the Galaxy is the biggest surprise of the year, and joins Marvel’s Spider-Man as one of the best Marvel video games in the last decade. The Guardians themselves steal the show, depicted perfectly, with a movie/comic-worthy story that will leave you laughing and crying. The combat is a lot of fun with plenty of strategies to use, even if it can get a little repetitive, and the setting and locations blow you away in scale and how incredibly detailed and beautiful they are. This Guardians team absolutely stands on its own, and just like the movie I’m hooked on a feeling.                            
89	                                Although over the decades comics have become ever more reflective of the complexities and concerns of contemporary life, in the end, they are still often the literary or cinematic equivalent of fast food: momentarily delicious, exactly what you need to fill the void, but not necessarily memorable or nutritious. Guardians of the Galaxy isn’t afraid of touching on some weighty themes, but they’re always secondary to an absorbing story, entertaining characters, and engaging action. Guardians of the Galaxy isn’t perfect, but overall, it’s a very effective translation of Marvel’s iconic band of misfits from page or screen into interactive entertainment.                            
88	                                Guardians of the Galaxy is fun to play because it has fun with itself. It’s clever, fast-paced, and never takes itself seriously. In other words, it’s the kind of game the Guardians of the Galaxy deserve.                            
88	                                Marvel Guardians of the Galaxy aims high and hits the target perfectly by delivering a thoroughly enjoyable single-player action RPG as you control Star Lord and his his motley alien crew while kicking ass along the way. It’s immaculately presented on the PlayStation 5 with graphics that pop and a soundtrack that will even make director James Gunn envious! So if you’re looking for the perfect alien superhero getaway, Marvel Guardians of the Galaxy hits that bullseye perfectly.                            
87	                                Marvel’s Guardians of the Galaxy is a fun game, very well-planned, with great narrative and strong ambitions to entertain the player. Star-Lord's interaction with the Milano crew and the rest of the characters is magical. Combat and physics can be problematic, but the errors don't overshadow the positives. Even the Latin American dubbing is a delight that you are sure to enjoy.                            
87	                                Marvel’s Guardians of the Galaxy is a blast for its entire run of 20-plus hours, and when it’s not entertaining you with goofy banter and situations, it’s aiming directly at your heart. The twitchy combat is like strapping a high-class hyperdrive engine to a well-worn ship held together with duct tape and bubblegum: it’s such a wild ride that you won’t even notice when it falls apart. Though the fighting has its issues, it’s decent enough to ferry you through the wonderfully dynamic story. For Guardians fans, this game is a no-brainer. But even if you’re not into the superhero thing, it’s also the grandest space opera game this side of Mass Effect. Between Guardians and Avengers, could we be headed for a Square Enix Cinematic Universe? If so, Guardians of the Galaxy may not be a final destination, but at least the spaceship knows which way to go. I’ll be hooked on a feeling for a while.                            
87	                                Marvel’s Guardians of the Galaxy is a solid action adventure that fans of this group of heroes will love. Although it is not surprising in its approach, it does many things well and manages to redeem itself in the eyes of lovers of the Marvel universe.                            
86	                                Blasting combat gameplay that merges very well with the single player concept without loosing the sense of being part of a team. Humor and drama draws an engaging story very focused on The Guardians of the Galaxy.                            
86	                                Marvel's: Guardians of the Galaxy is a fantastic game. He knows what his greatest virtues are and he performs them without showing off. Square Enix has found a path that it can and must explore, using the most popular and interactive medium, to shape its comic book universe wherever it can.                            
85	                                It’s been a rocky road for Marvel properties in videogames, but Guardians of the Galaxy stands out as one of the very best. The combination of likable characters and fantastic scenery make for a game that’s an absolute blast to play for the entire duration. It’s got great style and a big heart, and really, that’s kinda what Guardians of the Galaxy as a franchise is all about. Eidos Montreal should be congratulated on an excellent adventure, and Square-Enix should be commended for letting them make it while locking the upselling bean counters in a broom closet.                            
85	                                Marvel's Guardians of the Galaxy is a game with a lot of quality, but it is far from perfect. However, it is a product by a team that fulfilled their mission of providing a sincere and heartfelt game. It is well worth giving it a chance.                            
85	                                Guardians of the Galaxy offers a great gaming experience: fun story, good combat, good characterization and well done VA.                            
85	                                Guardians of the Galaxy is a spectacular, albeit lengthy adventure with enjoyable mechanics and a surprisingly deeper story than what is on the surface.                            
85	                                Marvel's Guardians of the Galaxy is a damn great, roughly 30-hour experience that anyone can enjoy regardless of their history with any content from Marvel's extensive catalog. While combat can be effortless, it's rarely dull with clear effort poured into every imaginable corner. Character scenes are full of fun moments of dialogue but still manage to feature some emotional story beats enhanced by the cast. Looking past my critiques, I had a joyous time with Marvel's Guardians of the Galaxy, and I hope it gets the praise it deserves.                            
85	                                Marvel's Guardians of the Galaxy is pure blockbuster entertainment in much the same way as the MCU films. It might not push any boundaries in the genre, but it's a damned good Guardians game with a ton of heart and a clear passion for the property that shows. Eidos Montreal has clearly understood the strengths of its team and how they fit in with what fans love about the franchise to make the right calls. The result is an enjoyable ride and the most Marvel Marvel game around.                            
85	                                Guardians of the Galaxy is everything that Marvel's Avengers should have been, offering players a single-player focused adventure with some of your favorite comic book characters. Mixed in with solid gameplay and continuous witty banter between your teammates, Guardians of the Galaxy will leave you already excited for what you would expect to be the inevitable sequel.                            
85	                                Marvel's Guardians of the Galaxy is primarily filled with hilarity. The dialogue is expertly written, which fleshes out the characters like never before. The dynamic that this creates between the titular Guardians is more than enough to keep you chained to your screen for upwards of 20 hours.                            
85	                                Guardians of the Galaxy sets a new high bar for interactive storytelling and jaw-dropping visuals. With an unparalleled attention to detail, Guardians tells a rollicking sci-fi story rooted in true human emotion. But the gameplay sections of this narrative masterpiece sometimes bog down the proceedings with merely "okay" combat and exploration.                            
84	                                An adventure full of twists, with splendid dialogue and all the verve of the Guardians of the Galaxy. Perfect for supergroup fans and a good title to entertain everyone else.                             
83	                                I’m a simple man (not in game), give me a comic interpretation made by people who appreciate and understand the source material and tell a captivating story and you’ve got me hooked. There’s not much to do outside of the bit of collectibles and costumes after you beat the game but maybe if Guardians does well enough we’ll see some strong DLC content. Marvel’s Guardians of the Galaxy is built to be a holiday season blockbuster (I mean is anything else even coming out this holiday?), and all of its accessibility options make it the perfect gift for anyone.                            
83	                                Guardians Of The Galaxy is exactly what you want from a game in this franchise. Full of laughs, engaging action, and an epic, galaxy-spanning plot that hooks you from moment one.                            
81	                                Marvel's Guardians of the Galaxy provides a fun action adventure with small gameplay weaknesses for fans.                            
80	                                Marvel's Guardians of the Galaxy has its flaws, but it's probably one of the best games in the Marvel universe beside Insomniac's Spider-Man in recent years.                            
80	                                Marvel’s Guardians of the Galaxy is one of the most fun games this year. Its linear storytelling provides the right story that goes all on in the cosmic enjoyment. Add in the fantastic spectacles with a kicking soundtrack, and this game will make you yell flark yes!                            
80	                                Marvel’s Guardians of the Galaxy is blissfully freeing in a way that not many shooters are these days.                            
80	                                This take on Marvel's Guardians of the Galaxy puts a premium on character and storytelling, with surprisingly impressive results.                            
80	                                Marvel's Guardians of the Galaxy is a good superhero game. It may not be the best out there, but it is in the top 5. If you are a true Marvel fan familiar with the Guardians of the Galaxy universe it hits the perfect notes in almost perfect order. It tried to balance the videogames gameplay with a cinematic experience, focusing on delivering a quality single player experience. It does not miss the multiplayer or co-op experience at all, and you can feel that it was made with care. Guardians of the Galaxy makes us forget about the grindy gameplay of Avengers and proves that Square Enix can deliver an engaging experience.                            
80	                                Guardians of the Galaxy shines when it focuses on the characters and the world around them. It might not be the most innovative game this year, but it excellently executes the tried-and-true linear action-adventure formula to deliver a great single-player experience.                            
80	                                With a solid script, robust soundtrack, and plethora of expertly delivered lines, it’s obvious a lot of care was put into making Guardians of the Galaxy feel like you were playing through an interactive movie. Its gameplay choices won’t win any awards, but the magic it makes with its witty lines and casual banter succeed in inviting you into its strange, goofy, and striking world.                            
80	                                Regardless of how synonymous the characters now are with their big-screen depictions, this version of the Guardians of the Galaxy is far and away my favourite. The exceptionally well-written story is backed by a cast of unique and complex characters whose interactions with each other are equally hilarious and heartfelt. The fun and frantic combat may take some warming to, but the reliance on team synergy is thematically rewarding and visually impressive. Looking past the few technical issues and outdated exploration, this is an action game that will appeal to comic fans and gamers alike.                            
80	                                With its endearing characters and effective humor, Guardians of the Galaxy is one of the pleasant surprises of the end of the year, which is obviously aimed at a very large audience. Behind this careful writing, we feel a deep love on the part of the developers of Eidos Montreal for its marginalized space. And if the adventure is not as epic as we hoped, the journey is nonetheless pleasant with its moments of complicity and the many choices offered which reinforce the player's involvement. A truly attractive journey, in particular thanks to an efficient and fluid combat system which nevertheless shows its limits at the end of the game and against the bosses. Finally, it is more on its visual part that the title can divide. If we find on the one hand original environments and neat character models, we also note the presence of less convincing facial animations in places and sometimes less fine landscapes. It is nonetheless a gripping adventure alongside the galaxy's greatest magnificent losers that has plenty to please MCU fans.                             
80	                                Marvel’s Guardians of the Galaxy is a fun-filled cosmic adventure. No aggressive microtransactions, no tacked on multiplayer, just a good ol’ fashioned single-player adventure with MCU-worthy blockbuster sequences and heartfelt story moments. The combat offers just enough variance and depth to remain entertaining throughout your playthrough but the magic truly resides within the colorful cast of characters.                            
80	                                After stumbling out the gate with last year’s Avengers, Square Enix has managed to steady the ship with Marvel’s Guardians of the Galaxy. For the story alone, the game is well-worth playing, but it’s the abundance of lore, well-written dialogue and gorgeous locales that elevate it as one of the best Marvel games to date. If the game’s combat bore a tad more finesse, and if some of the glitches had been ironed out before launch then Guardians would be more in line with the quality we’ve seen from Marvel’s Spider-Man, but the game has shown that Square Enix can make the most of the license when steered in the right direction. I’m now very excited to see what the company can do next.                            
80	                                All of these elements combine to create a game that is a jack of all trades, and master of none, but that’s a happy outcome considering how many different things it tries to do. A lot of what I’ve described so far probably sounds like a mashup of several different things that other games arguably do better, but Marvel’s Guardians of the Galaxy does everything with so much heart and charm that it overcomes some of the elements feeling a little empty and results in one of the best gaming adventures I’ve been on in 2021. Considering how much of a let-down the previous big Marvel game was, I am more than happy to shout how great this is without any conditions put on top.                             
80	                                It’s not quite up there with the PS5’s superlative Spider-Man Marvel game, that’s another level of awesome. But there’s plenty of old-school singleplayer adventure here to get you through those chilly Autumn nights until the next big Marvel movie hits the silver screen.                            
80	                                Marvel's Guardians of the Galaxy gave us positive vibes from the moment we set foot on Milan. A solid gunplay, the importance assigned to the cooperation between the protagonists and the phenomenal script lead us to widely approve Eidos Montréal's fresh and original vision of the precious license of the House of Ideas. However, there are some reserves of a technical and playful nature, accompanied by a fairly limited level of customization. Whether or not you are a die-hard fan of the most ramshackle supergroup in the Multiverse, let yourself be enchanted by the extravagant style and personalities of the Guardians of the Galaxy, and set off with them for the stars.                             
80	                                Marvel's Guardians of the Galaxy is exactly what a fan would want from a Guardians of the Galaxy tie-in. In the game you can only control Star-Lord, but the adventure developed by Eidos Montreal boasts a brilliant script, which effectively exploits the dynamics that made the movies so successful.                            
80	                                Despite some initial skepticism that they could pull it off, Marvel’s Guardians of the Galaxy is everything I want a Guardians of the Galaxy game to be. It is character-focused first and foremost, retaining the comedic heart and ’80s vibe that is core to the franchise. As a single-player game, it doesn’t get bogged down by expectations of some kind of grind or endgame. While combat can sometimes be rather chaotic and there are a few bugs, Marvel’s Guardians of the Galaxy understands what Guardians of the Galaxy is—character, comedy, and heart.                            
80	                                Eidos-Montreal’s Guardians of the Galaxy is brilliant, but the one thing holding me back from giving it a higher score is how dated many of its conventions seem. The power cooldown has no plan B, QTEs are everywhere, and again… Eagle Vision. It’s a few years behind the times, even without George Michael's dulcet tones. It’s fun, but it certainly isn’t fresh, and for a lot of people, that will be enough. In some ways, it's an experience not to be missed. In others, it's an experience you've had before.                            
80	                                I suppose we can now venture into the old “is Guardians worth $60?” debate. If you miss hyper linear story games with no live service BS, and are a big Marvel fan, then this might be the game for you. If you are hoping for Devil May Cry level combat and God of War type puzzles and exploration within a linear story, you will be disappointed. But I can safely say this is probably a better end product than most people were expecting, and that alone is a pretty big win for a game that felt like a bit of a risk and like it’s been lacking in buzz leading up to launch here. It has issues, but it gets a lot right, and pushes storytelling in ways I haven’t seen in this genre before.                            
80	                                It’s hard not to love Marvel’s Guardians of the Galaxy. Yes, I wish there was more scope for open exploration, and I wish some of the combat encounters were a little more varied. But there’s a ridiculous amount of heart here. From an absolutely killer soundtrack to brilliantly-written characters that you can’t help but adore, it’s a rip-roaring adventure through space that left me wanting more. Ultimately, it’s one of Marvel’s best video game outings yet.                            
80	                                Even if you’re fatigued by the endless amount of Marvel content, Guardians of the Galaxy shows a lot of heart and soul. The cast delivers unforgettable performances that are further highlighted by meaningful exploration and impactful narrative decisions. The adventure loses a bit of steam the longer it goes, due to overly familiar combat, but the team’s banter keeps things entertaining. Eidos Montreal has delivered a memorable and intimate take on the team of misfits that truly stands on its own.                             
80	                                Marvel's Guardians of the Galaxy might be by-the-numbers, but it's a consistently enjoyable experience with great characters and an engaging story, thanks to an excellent understanding of what makes this property tick.                            
80	                                I really didn't expect to enjoy Guardians of the Galaxy as much as I did. The game's marketing left me incredibly lukewarm, and I wasn't sure what to expect, even after the first couple of hours with the game. What I found, however, is one of the best stories of the entire year. There's definitely a bit of tedium packed into the overall experience, but Marvel's Guardians of the Galaxy is an adventure well worth taking, warts and all.                             
80	                                Marvel’s Guardians of the Galaxy nicely balances a goofy, action-filled adventure with some genuinely heartfelt story moments, and the choices you’re given can add some surprising personal twists to your particular playthrough. Its combat and level design are relatively simple if still consistently entertaining, but it’s the relationships and banter between its characters that keep everything fresh as they evolve. It isn’t going to set the world on fire, but Guardians of the Galaxy is still another convincing example of how much fun a linear, no-frills, single-player campaign can be.                            
80	                                For as much uncertainty there has been surrounding Marvel's Guardians of the Galaxy, the final game has delivered. Fun and frantic combat provide the basis for a long, extremely enjoyable campaign featuring the characters you love and the tracks your kids usually screw their noses up at. A great title that deserves to be expanded upon in the future.                            
80	                                Marvel's Guardians of the Galaxy is a bit rough around the edges, but it's so fun to play, with a well-written and exciting story.                            
80	                                If Guardians of the Galaxy had Returnal’s combat and traversal, it would be a real Game of the Year contender, but it’s the few mechanical flaws that hold it back.                            
